/*
 *
 *  Iter Vehemens ad Necem (IVAN)
 *  Copyright (C) Timo Kiviluoto
 *  Released under the GNU General
 *  Public License
 *
 *  See LICENSING which should be included
 *  along with this file for more details
 *
 */

/*
 * NOTICE!!!
 *
 * This file contains SPOILERS, which might ruin your IVAN experience
 * totally. Also, editing anything can DESTROY GAME BALANCE or CAUSE
 * OBSCURE BUGS if you don't know what you're doing. So from here on,
 * proceed at your own risk!
 */

Dungeon MONDEDR;
{
  Levels = 2;

  LevelDefault
  {
    Size = 60, 60;
    Rooms = 20:30;
    Items = 0;
    TeamDefault = GUILD_TEAM;
    LOSModifier = 16;
    DifficultyBase = 150;
    DifficultyDelta = 0;
    EnchantmentMinusChanceBase = 0;
    EnchantmentMinusChanceDelta = 0;
    EnchantmentPlusChanceBase = 0;
    EnchantmentPlusChanceDelta = 0;
    BackGroundType = GRAY_FRACTAL;
    FillSquare = GRANITE solidterrain(GROUND), GRANITE earth;
    TunnelSquare = GRANITE solidterrain(GROUND), 0;
    IgnoreDefaultSpecialSquares = true;
    CanGenerateBone = false;
    IsCatacomb = false;
    AutoReveal = false;
    IsOnGround = false;
    EarthquakesAffectTunnels = false;
    AudioPlayList =
    {
      1,
      "Empty.mid";
    }

    RoomDefault
    {
      Pos = 2:XSize-5,2:YSize-5;
      WallSquare = GRANITE solidterrain(GROUND), GRANITE wall(BRICK_OLD);
      FloorSquare = RATA_WOOD solidterrain(PARQUET), 0;
      DoorSquare = GRANITE solidterrain(GROUND), RATA_WOOD door;
      Size = 4:7,4:7;
      AltarPossible = false;
      GenerateDoor = true;
      DivineMaster = 0;
      GenerateTunnel = false;
      GenerateLanterns = false;
      Type = ROOM_NORMAL;
      GenerateFountains = false;
      AllowLockedDoors = true;
      AllowBoobyTrappedDoors = false;
      Shape = RECTANGLE;
      IsInside = true;
      GenerateWindows = true;
      UseFillSquareWalls = false;
      Flags = 0;
    }
  }

  Level 0;
  {
    Description = "Mondedr";
    ShortDescription = "Mondedr;
    FillSquare = solidterrain(DARK_GRASS_TERRAIN), 0;
    IsOnGround = true;
    LeaveToWorldMap = true;
    LOSModifier = 48;

    Square, Pos 30,0;
    {
      EntryIndex = STAIRS_UP;
    }

    /* Four rangers */

    Square, Pos 0, 0;
    {
      Character = mondedrguard(RANGER) { WayPoint = { 4, 0, 0, XSize - 1, 0, XSize - 1, YSize - 1, 0, YSize - 1; } }
    }

    Square, Pos XSize - 1, 0;
    {
      Character = mondedrguard(RANGER) { WayPoint = { 4, XSize - 1, 0, XSize - 1, YSize - 1, 0, YSize - 1, 0, 0; } }
    }

    Square, Pos XSize - 1, YSize - 1;
    {
      Character = mondedrguard(RANGER) { WayPoint = { 4, XSize - 1, YSize - 1, 0, YSize - 1, 0, 0, XSize - 1, 0; } }
    }

    Square, Pos 0, YSize - 1;
    {
      Character = mondedrguard(RANGER) { WayPoint = { 4, 0, YSize - 1, 0, 0, XSize - 1, 0, XSize - 1, YSize - 1; } }
    }

    /* Citizens */

    Square, Random NOT_IN_ROOM;
    {
      Character = hunter;
      Times = 2:5;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = farmer;
      Times = 2:5;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = housewife;
      Times = 2:5;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = child(BOY);
      Times = 2:5;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = child(GIRL);
      Times = 2:5;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = orc;
      Times = 1:3;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = mistress;
      Times = 0:2;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = darkmage(APPRENTICE);
      Times = 0:1;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = necromancer(APPRENTICE);
      Times = 0:1;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = darkknight(ROOKIE);
      Times = 0:3;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = darkknight(VETERAN);
      Times = 0:1;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = goblin;
      Times = 1:5;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = goblin(BERSERKER);
      Times = 0:3;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = imp;
      Times = 0:1;
    }

    Square, Random NOT_IN_ROOM;
    {
      Character = kobold;
      Times = 1:5;
    }

    Square, Random NOT_IN_ROOM;
    {
